               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.090858,              0.1546,             0.02193,             0.47315,             0.39222,             0.38282,             0.21842,            0.089411,             0.22781,            0.028549,           0.0087151,           0.0087151,           0.0087151
                  76,            0.090725,              0.1531,            0.021915,             0.47136,             0.39311,             0.38131,             0.21725,            0.089386,             0.22822,            0.028635,            0.008682,            0.008682,            0.008682
                  77,            0.090388,             0.15371,            0.021756,             0.48004,             0.39241,             0.38281,             0.21887,            0.089392,             0.22851,            0.028639,           0.0086485,           0.0086485,           0.0086485
                  78,            0.090405,             0.15321,            0.021658,             0.48483,             0.38811,             0.38252,              0.2185,            0.089379,             0.22872,            0.028617,           0.0086146,           0.0086146,           0.0086146
                  79,            0.090753,             0.15491,            0.021773,             0.50529,             0.38066,              0.3844,             0.21974,            0.089302,             0.22856,             0.02857,           0.0085805,           0.0085805,           0.0085805
                  80,            0.090749,             0.15345,            0.021534,             0.49666,             0.38122,             0.38284,             0.21924,            0.089262,             0.22866,            0.028596,           0.0085459,           0.0085459,           0.0085459
                  81,            0.090747,             0.15347,            0.021676,             0.51873,             0.36817,             0.38186,             0.21834,            0.089272,             0.22864,            0.028611,           0.0085111,           0.0085111,           0.0085111
                  82,            0.090828,              0.1533,            0.021723,             0.49604,             0.37887,             0.38325,              0.2198,            0.089267,             0.22872,            0.028546,           0.0084759,           0.0084759,           0.0084759
                  83,            0.090655,             0.15349,            0.021723,             0.47732,              0.3934,             0.38649,             0.22087,            0.089214,              0.2285,             0.02848,           0.0084404,           0.0084404,           0.0084404
                  84,            0.090325,             0.15242,            0.021573,             0.51692,             0.37028,               0.386,             0.21958,            0.089244,             0.22878,            0.028535,           0.0084046,           0.0084046,           0.0084046
                  85,            0.090788,             0.15355,            0.021617,             0.48664,              0.3934,             0.38695,             0.22058,             0.08925,             0.22886,            0.028469,           0.0083684,           0.0083684,           0.0083684
                  86,            0.090293,             0.15292,            0.021508,             0.51309,               0.384,             0.38933,              0.2211,            0.089237,             0.22859,            0.028428,           0.0083319,           0.0083319,           0.0083319
                  87,             0.09064,             0.15575,            0.021537,             0.49318,             0.39583,             0.38806,             0.22035,            0.089215,             0.22833,            0.028418,           0.0082952,           0.0082952,           0.0082952
                  88,            0.090403,             0.15233,            0.021533,             0.52392,             0.37271,             0.38639,             0.22034,            0.089173,             0.22893,            0.028505,           0.0082581,           0.0082581,           0.0082581
                  89,            0.090513,             0.15327,            0.021407,             0.50147,             0.38402,               0.387,             0.22037,            0.089202,             0.22882,            0.028515,           0.0082207,           0.0082207,           0.0082207
                  90,            0.090298,             0.15479,            0.021348,             0.49805,             0.38502,             0.38563,             0.21926,            0.089188,              0.2289,            0.028572,            0.008183,            0.008183,            0.008183
                  91,            0.090496,             0.15307,             0.02142,             0.52651,             0.36989,             0.38706,              0.2202,            0.089171,             0.22892,            0.028484,            0.008145,            0.008145,            0.008145
                  92,            0.090502,             0.15394,             0.02133,             0.51435,             0.37285,             0.38599,             0.22014,            0.089133,              0.2293,            0.028491,           0.0081068,           0.0081068,           0.0081068
                  93,            0.089994,             0.15275,            0.021052,             0.49746,             0.38328,             0.38607,             0.21972,            0.089157,             0.22966,            0.028491,           0.0080682,           0.0080682,           0.0080682
                  94,            0.090019,             0.15207,            0.021473,             0.48936,             0.38709,             0.38589,             0.22035,            0.089168,             0.22961,            0.028475,           0.0080294,           0.0080294,           0.0080294
                  95,            0.090124,             0.15176,             0.02127,             0.52429,               0.369,             0.38768,             0.22109,            0.089137,             0.22937,            0.028439,           0.0079903,           0.0079903,           0.0079903
                  96,            0.090105,             0.15296,            0.021262,             0.47657,             0.39221,             0.38851,             0.22203,            0.089145,              0.2294,            0.028431,           0.0079509,           0.0079509,           0.0079509
                  97,            0.090402,              0.1532,            0.021072,             0.53317,              0.3648,             0.38885,             0.22288,            0.089117,             0.22931,            0.028404,           0.0079112,           0.0079112,           0.0079112
                  98,            0.089966,             0.15343,            0.021134,             0.51809,             0.37698,             0.39079,             0.22369,             0.08907,             0.22951,            0.028378,           0.0078713,           0.0078713,           0.0078713
                  99,            0.090413,             0.15262,            0.020981,             0.50611,             0.38387,              0.3908,             0.22342,            0.089033,             0.22963,             0.02842,           0.0078311,           0.0078311,           0.0078311
                 100,            0.089614,             0.15125,            0.020882,             0.50607,             0.38372,             0.39019,             0.22341,            0.089027,             0.22946,            0.028417,           0.0077907,           0.0077907,           0.0077907
                 101,            0.089471,             0.14984,            0.020874,             0.52208,             0.37529,             0.39101,             0.22411,            0.089005,             0.22951,            0.028426,             0.00775,             0.00775,             0.00775
                 102,            0.090127,             0.15351,            0.020979,             0.50362,             0.38548,             0.39172,             0.22494,            0.088989,             0.22939,            0.028379,           0.0077091,           0.0077091,           0.0077091
                 103,            0.089942,             0.15151,             0.02094,             0.50796,             0.38591,             0.39239,             0.22559,            0.088985,             0.22933,            0.028343,           0.0076679,           0.0076679,           0.0076679
                 104,            0.089818,             0.15054,            0.020874,              0.5101,             0.38322,               0.392,             0.22537,             0.08897,             0.22903,            0.028349,           0.0076265,           0.0076265,           0.0076265
                 105,            0.089803,             0.15094,            0.020921,             0.49281,             0.39339,             0.39308,             0.22632,            0.088959,             0.22906,            0.028329,           0.0075848,           0.0075848,           0.0075848
                 106,            0.089531,             0.15104,            0.020742,             0.50378,             0.38782,             0.39263,             0.22601,            0.088958,              0.2292,            0.028326,            0.007543,            0.007543,            0.007543
                 107,            0.090181,             0.15108,            0.020973,             0.50894,             0.38631,             0.39204,             0.22633,            0.088936,             0.22958,             0.02837,           0.0075009,           0.0075009,           0.0075009
                 108,            0.090029,             0.15152,            0.020909,             0.49756,             0.39368,             0.39171,             0.22571,            0.088944,             0.22956,             0.02837,           0.0074585,           0.0074585,           0.0074585
                 109,            0.089562,             0.15044,            0.020966,             0.50648,             0.38893,             0.39185,             0.22632,            0.088906,             0.22931,            0.028338,            0.007416,            0.007416,            0.007416
                 110,            0.089432,             0.14979,            0.020823,             0.53309,             0.37817,             0.39173,             0.22579,            0.088892,              0.2292,            0.028307,           0.0073733,           0.0073733,           0.0073733
                 111,            0.089446,             0.15079,            0.020599,             0.51551,             0.38455,             0.39093,             0.22525,            0.088902,             0.22913,            0.028312,           0.0073303,           0.0073303,           0.0073303
                 112,            0.089607,             0.15013,            0.020607,             0.52616,             0.37901,             0.39158,             0.22541,            0.088917,             0.22913,             0.02833,           0.0072872,           0.0072872,           0.0072872
                 113,            0.089542,             0.15135,            0.020558,             0.53441,             0.37595,             0.39183,             0.22559,            0.088928,              0.2292,            0.028337,           0.0072438,           0.0072438,           0.0072438
                 114,            0.089871,             0.15129,             0.02054,             0.53308,             0.37454,             0.39159,             0.22564,            0.088928,             0.22937,             0.02837,           0.0072003,           0.0072003,           0.0072003
                 115,            0.089075,             0.14934,            0.020673,             0.54544,             0.36965,              0.3921,              0.2259,            0.088911,             0.22937,            0.028354,           0.0071566,           0.0071566,           0.0071566
                 116,            0.089238,             0.14989,            0.020524,             0.51133,             0.38587,             0.39265,             0.22612,            0.088883,             0.22938,            0.028361,           0.0071127,           0.0071127,           0.0071127
                 117,            0.089311,             0.15118,            0.020494,             0.53373,              0.3752,             0.39274,             0.22678,            0.088868,             0.22935,            0.028381,           0.0070686,           0.0070686,           0.0070686
                 118,            0.089311,             0.14951,            0.020428,             0.54983,             0.36786,             0.39234,             0.22647,            0.088844,             0.22941,            0.028395,           0.0070243,           0.0070243,           0.0070243
                 119,            0.089606,             0.15093,            0.020478,             0.53206,             0.37567,             0.39308,             0.22673,            0.088837,             0.22938,            0.028366,           0.0069799,           0.0069799,           0.0069799
                 120,            0.089327,             0.15018,            0.020299,             0.52826,             0.37782,             0.39333,             0.22686,            0.088843,             0.22944,            0.028365,           0.0069353,           0.0069353,           0.0069353
                 121,            0.089231,             0.14959,            0.020389,             0.51574,             0.38425,              0.3928,             0.22672,            0.088844,             0.22947,            0.028364,           0.0068906,           0.0068906,           0.0068906
                 122,            0.089728,             0.15026,             0.02017,             0.51578,             0.38394,             0.39365,             0.22701,            0.088842,             0.22954,            0.028372,           0.0068457,           0.0068457,           0.0068457
                 123,            0.089261,             0.14971,            0.020258,              0.5499,              0.3666,             0.39303,             0.22658,            0.088834,             0.22965,            0.028377,           0.0068006,           0.0068006,           0.0068006
                 124,            0.089344,             0.14923,            0.020297,             0.50161,             0.38959,             0.39247,             0.22688,            0.088826,             0.22978,            0.028393,           0.0067555,           0.0067555,           0.0067555
                 125,            0.089188,             0.15059,            0.020198,             0.51799,             0.38121,             0.39278,             0.22682,            0.088814,             0.22977,            0.028398,           0.0067101,           0.0067101,           0.0067101
                 126,            0.089202,             0.14943,            0.020336,             0.51275,             0.38486,             0.39317,             0.22695,            0.088805,             0.22985,            0.028417,           0.0066647,           0.0066647,           0.0066647
                 127,            0.089538,             0.15222,            0.020151,             0.52108,             0.38071,             0.39243,              0.2265,            0.088808,             0.22978,            0.028433,           0.0066191,           0.0066191,           0.0066191
                 128,            0.089021,             0.14925,            0.020219,             0.52107,             0.38118,             0.39248,             0.22638,            0.088802,             0.22992,             0.02845,           0.0065734,           0.0065734,           0.0065734
                 129,            0.089454,               0.149,            0.020074,             0.52449,              0.3789,             0.39252,             0.22655,            0.088794,             0.23007,            0.028471,           0.0065276,           0.0065276,           0.0065276
                 130,             0.08862,              0.1496,            0.020043,             0.50805,             0.38773,             0.39299,             0.22666,            0.088791,             0.23027,            0.028481,           0.0064816,           0.0064816,           0.0064816
                 131,            0.088658,             0.14753,            0.020166,             0.50894,             0.38826,             0.39258,             0.22639,            0.088785,             0.23024,            0.028488,           0.0064356,           0.0064356,           0.0064356
                 132,            0.088947,             0.15023,              0.0202,             0.51876,             0.38436,             0.39234,             0.22646,            0.088782,             0.23023,            0.028495,           0.0063895,           0.0063895,           0.0063895
                 133,            0.089273,             0.14958,            0.019959,             0.52281,             0.38267,             0.39201,             0.22683,            0.088777,             0.23033,            0.028509,           0.0063432,           0.0063432,           0.0063432
                 134,              0.0889,              0.1483,            0.020108,             0.51554,             0.38673,             0.39254,             0.22704,            0.088768,             0.23034,            0.028511,           0.0062969,           0.0062969,           0.0062969
                 135,            0.088965,             0.15016,            0.020018,             0.52674,             0.37961,             0.39296,             0.22708,            0.088759,             0.23029,            0.028519,           0.0062505,           0.0062505,           0.0062505
                 136,            0.089225,             0.14907,            0.019948,               0.523,             0.38152,             0.39303,             0.22717,            0.088753,             0.23032,            0.028515,            0.006204,            0.006204,            0.006204
                 137,            0.088689,             0.14824,            0.019695,             0.50494,             0.39181,              0.3938,             0.22732,            0.088751,              0.2304,            0.028506,           0.0061574,           0.0061574,           0.0061574
                 138,            0.089024,             0.14935,            0.020016,             0.51565,             0.38735,             0.39405,              0.2273,            0.088755,              0.2304,             0.02851,           0.0061107,           0.0061107,           0.0061107
                 139,            0.088875,             0.14721,            0.019884,             0.53677,             0.37658,             0.39376,             0.22726,            0.088759,             0.23046,            0.028516,            0.006064,            0.006064,            0.006064
                 140,            0.089088,             0.14922,            0.019851,             0.53923,             0.37776,             0.39394,             0.22742,            0.088762,             0.23048,             0.02852,           0.0060172,           0.0060172,           0.0060172
