               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,             0.10135,             0.17811,            0.029106,             0.32627,             0.27742,             0.24086,             0.11756,            0.097857,             0.23871,            0.033022,           0.0093733,           0.0093733,           0.0093733
                  53,             0.10101,             0.17413,            0.028907,             0.34891,             0.26633,             0.24104,             0.11666,            0.097776,             0.23876,            0.032878,           0.0093491,           0.0093491,           0.0093491
                  54,             0.10098,             0.17447,            0.028989,             0.36697,             0.25274,             0.23867,              0.1165,            0.097724,             0.23925,            0.032966,           0.0093245,           0.0093245,           0.0093245
                  55,             0.10098,             0.17555,            0.028777,             0.35417,             0.26881,             0.24119,             0.11866,            0.097693,             0.23895,            0.032892,           0.0092995,           0.0092995,           0.0092995
                  56,             0.10094,             0.17523,            0.028651,             0.34142,             0.26944,             0.24046,             0.11935,            0.097746,             0.23909,            0.033003,            0.009274,            0.009274,            0.009274
                  57,             0.10079,             0.17488,            0.028819,             0.34639,             0.27582,             0.24347,             0.11906,            0.097565,             0.23843,            0.032829,           0.0092481,           0.0092481,           0.0092481
                  58,             0.10063,             0.17348,            0.028724,             0.35061,             0.26824,             0.24113,             0.11884,            0.097601,             0.23832,            0.032702,           0.0092219,           0.0092219,           0.0092219
                  59,             0.10089,             0.17396,            0.028734,             0.36328,              0.2658,             0.24418,             0.12063,            0.097708,             0.23839,            0.032764,           0.0091952,           0.0091952,           0.0091952
                  60,             0.10079,             0.17391,            0.028704,             0.33518,             0.27552,             0.24222,             0.11876,            0.097641,             0.23862,            0.032733,           0.0091681,           0.0091681,           0.0091681
                  61,             0.10141,             0.17707,            0.028822,             0.34017,             0.27791,             0.24618,             0.12185,            0.097569,             0.23855,            0.032722,           0.0091406,           0.0091406,           0.0091406
